date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:55	88790/88790	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20May%202017%2015:17:54%20GMT	http://ir.ingersollrand.com/investors/overview/default.aspx	C:/My%20Web%20Sites/Ingersoll%20Rand/ir.ingersollrand.com/investors/overview/default.html	(from )
11:17:55	207/207	---M--	200	added ('OK')	text/plain	etag:%2295ec03ea0b3d21:0%22	http://ir.ingersollrand.com/robots.txt		(from )
11:17:55	35601/35601	---MCZ	200	added ('OK')	text/css	etag:W/%2276e9acfcf50d527a9256546ad635da74%22	http://s21.q4cdn.com/515635695/files/css/jquery-ui.css	C:/My%20Web%20Sites/Ingersoll%20Rand/s21.q4cdn.com/515635695/files/css/jquery-ui.css	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
11:17:58	3281/3281	---MCZ	200	added ('OK')	text/css	etag:W/%229e71dfea1584fe67a0710304c0c70c40%22	http://s21.q4cdn.com/515635695/files/css/print.css	C:/My%20Web%20Sites/Ingersoll%20Rand/s21.q4cdn.com/515635695/files/css/print.css	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
11:17:59	141784/141784	---MCZ	200	added ('OK')	text/css	etag:W/%22712dc95dd9e116512fbe0838c9f7f7aa%22	http://s21.q4cdn.com/515635695/files/css/global.css?v=26284	C:/My%20Web%20Sites/Ingersoll%20Rand/s21.q4cdn.com/515635695/files/css/global0ac9.css	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
11:17:59	11910/11910	---MCZ	200	added ('OK')	text/css	etag:W/%22d26033935ab185a48f283960feb603d9%22	http://s21.q4cdn.com/515635695/files/css/client.css?v=26411	C:/My%20Web%20Sites/Ingersoll%20Rand/s21.q4cdn.com/515635695/files/css/client579a.css	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
11:18:02	16281/16281	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2209792196be977b798f4eb7011790f1ec%22	http://s21.q4cdn.com/515635695/files/js/q4.app.js	C:/My%20Web%20Sites/Ingersoll%20Rand/s21.q4cdn.com/515635695/files/js/q4.app.js	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
11:18:03	73013/73013	---M-Z	200	added ('OK')	application/x-javascript	etag:%2228c882b8d33865e075d1066d7265e4e3:1489433543%22	http://assets.adobedtm.com/cf06d89114b9eb0a1a6d89461a9a9bb23dee5eda/satelliteLib-0a0320ff4d56ec7807f95e046addc3f609080cd7.js	C:/My%20Web%20Sites/Ingersoll%20Rand/assets.adobedtm.com/cf06d89114b9eb0a1a6d89461a9a9bb23dee5eda/satelliteLib-0a0320ff4d56ec7807f95e046addc3f609080cd7.js	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
11:18:04	4931/4931	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b49273b51dae7361e02dca0763144e54%22	http://s21.q4cdn.com/515635695/files/js/icheck.min.js	C:/My%20Web%20Sites/Ingersoll%20Rand/s21.q4cdn.com/515635695/files/js/icheck.min.js	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
11:18:04	434679/434679	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22c07882c95424018700c47862e8a7614c%22	http://s21.q4cdn.com/515635695/files/js/q4.core.js	C:/My%20Web%20Sites/Ingersoll%20Rand/s21.q4cdn.com/515635695/files/js/q4.core.js	(from http://ir.ingersollrand.com/investors/overview/default.aspx)
